縣市,名稱,地址,評分,評論數,營業時間,經度,緯度
台北市,就甘心Ponpon寵物旅館,10491台灣臺北市中山區新生北路二段60巷16號4樓,5.0,386.0,星期一: 11:00 – 19:00；星期二: 11:00 – 19:00；星期三: 11:00 – 19:00；星期四: 11:00 – 19:00；星期五: 11:00 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5268032,25.0556688
台北市,逗格寵物旅館DogoHotel,10491台灣臺北市中山區雙城街49巷9-6號1樓,5.0,163.0,星期一: 08:15 – 20:00；星期二: 08:15 – 20:00；星期三: 08:15 – 20:00；星期四: 08:15 – 20:00；星期五: 08:15 – 20:00；星期六: 08:15 – 20:00；星期日: 08:15 – 20:00,121.5250757,25.0680154
台北市,【米兔旅店】兔子住宿-寵物旅館,103台灣臺北市大同區酒泉街105號,5.0,228.0,星期一: 08:00 – 20:00；星期二: 08:00 – 20:00；星期三: 08:00 – 20:00；星期四: 08:00 – 20:00；星期五: 08:00 – 20:00；星期六: 08:00 – 20:00；星期日: 08:00 – 20:00,121.5152486,25.0721397
台北市,24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,103台灣臺北市大同區五原路19號,5.0,12.0,星期一: 24 小時營業；星期二: 24 小時營業；星期三: 24 小時營業；星期四: 24 小時營業；星期五: 24 小時營業；星期六: 24 小時營業；星期日: 24 小時營業,121.5174032,25.0566984
台北市,北歐寵物旅館,106台灣臺北市大安區新生南路二段60-1號,4.7,386.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.5341688,25.0284165
台北市,Very旺寵物旅館 VW pet hotel,105台灣臺北市松山區八德路二段429號2樓,4.4,314.0,星期一: 08:30 – 20:00；星期二: 08:30 – 20:00；星期三: 08:30 – 20:00；星期四: 08:30 – 20:00；星期五: 08:30 – 20:00；星期六: 08:30 – 20:00；星期日: 08:30 – 20:00,121.5466462,25.0483138
台北市,貓僕舍複合式貓旅館,10362台灣臺北市大同區重慶北路三段73號,4.9,52.0,星期一: 10:30 – 19:00；星期二: 10:30 – 19:00；星期三: 10:30 – 19:00；星期四: 10:30 – 19:00；星期五: 10:30 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5138623,25.0664411
台北市,台北專業貓咪保姆KIKI/到府照護/陪狗狗散步/到府美容洗澡/寵物旅館/寵物寄宿/毛小愛APP,100台灣臺北市中正區林森北路9巷5號,4.9,28.0,星期一: 24 小時營業；星期二: 24 小時營業；星期三: 24 小時營業；星期四: 24 小時營業；星期五: 24 小時營業；星期六: 24 小時營業；星期日: 24 小時營業,121.5241794,25.0457797
台北市,家裡寵物旅館-幼幼館,"1樓, No. 195號長安東路二段中山區臺北市台灣 10490",4.8,131.0,"星期一: 10:00 – 12:00, 13:30 – 20:00；星期二: 10:00 – 12:00, 13:30 – 20:00；星期三: 10:00 – 12:00, 13:30 – 20:00；星期四: 10:00 – 12:00, 13:30 – 20:00；星期五: 10:00 – 12:00, 13:30 – 20:00；星期六: 10:00 – 12:00, 13:30 – 20:00；星期日: 10:00 – 12:00, 13:30 – 20:00",121.5432635,25.04836
台北市,宅貓旅館🥰中山館,10469台灣臺北市中山區民生東路二段3號,4.9,284.0,星期一: 10:30 – 20:00；星期二: 10:30 – 20:00；星期三: 10:30 – 20:00；星期四: 10:30 – 20:00；星期五: 10:30 – 20:00；星期六: 10:30 – 20:00；星期日: 10:30 – 20:00,121.5282278,25.0582391
台北市,狗窩窩愛犬旅舍(寵物旅館/狗狗旅館/狗狗美容/狗狗住宿/寵物安親/狗狗洗澡),105台灣臺北市松山區民生東路五段137巷2-5號1樓,4.7,79.0,星期一: 08:00 – 21:00；星期二: 08:00 – 21:00；星期三: 08:00 – 21:00；星期四: 08:00 – 21:00；星期五: 08:00 – 21:00；星期六: 08:00 – 21:00；星期日: 08:00 – 21:00,121.5616835,25.0592262
台北市,貓踏踏貓旅館,104台灣臺北市中山區長安東路一段16號10樓之3,5.0,47.0,星期一: 11:00 – 20:00；星期二: 11:00 – 20:00；星期三: 11:00 – 20:00；星期四: 11:00 – 20:00；星期五: 11:00 – 20:00；星期六: 11:00 – 20:00；星期日: 11:00 – 20:00,121.5231019,25.049391
台北市,喵吉拉渡假村｜頂級純貓旅館｜純貓美容｜韓國寵物選品｜到府寵物管家,100台灣臺北市中正區金山北路1號13樓,5.0,85.0,星期一: 12:00 – 19:00；星期二: 12:00 – 19:00；星期三: 12:00 – 19:00；星期四: 12:00 – 19:00；星期五: 12:00 – 19:00；星期六: 12:00 – 19:00；星期日: 12:00 – 19:00,121.5304059,25.0441326
台北市,D&Y 寵物美容時尚旅店,10491台灣臺北市中山區中山北路三段55巷22號,4.7,298.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.523917,25.067884
台北市,丹迪貓•Cat Hotel&Grooming,103020台灣臺北市大同區平陽街25號,5.0,77.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.5173115,25.0550865
台北市,WSPA寵物旅館,100台灣台北市中正区罗斯福路三段139號1F,4.5,124.0,星期一: 09:00 – 20:00；星期二: 09:00 – 20:00；星期三: 09:00 – 20:00；星期四: 09:00 – 20:00；星期五: 09:00 – 20:00；星期六: 09:00 – 20:00；星期日: 09:00 – 20:00,121.527207,25.0218659
台北市,GuGu House 寵物旅館,10462台灣臺北市中山區敬業一路160號,4.7,72.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.5531642,25.0839287
台北市,吃手手寵物精品旅館The Paw Pet Hotel,100台灣台北市中正区济南路二段35-1號1樓,4.6,109.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.5297938,25.0408138
台北市,小客廳寵物旅館 The Living Room Pet Hotel,114台灣臺北市內湖區成功路四段30巷19號,4.8,113.0,星期一: 08:15 – 21:00；星期二: 08:15 – 21:00；星期三: 08:15 – 21:00；星期四: 08:15 – 21:00；星期五: 08:15 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.591793,25.0822558
台北市,貓格里拉 - 貓旅館 - 貓住宿 - Cat Hotel & Goods,"10樓之3, No. 76號復興南路一段大安區臺北市台灣 106",5.0,168.0,星期一: 11:00 – 19:00；星期二: 11:00 – 19:00；星期三: 11:00 – 19:00；星期四: 11:00 – 19:00；星期五: 11:00 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5435872,25.0440031
台北市,狗狗日常寵物旅館/寵物旅館/寵物美容/寵物自助洗/狗安親/狗住宿*全預約制*,"85號, 羅斯福路六段文山區臺北市台灣 116",4.7,148.0,星期一: 10:30 – 18:30；星期二: 10:30 – 18:30；星期三: 10:30 – 18:30；星期四: 10:30 – 18:30；星期五: 10:30 – 18:30；星期六: 10:30 – 18:30；星期日: 10:30 – 18:30,121.5405372,24.9985675
台北市,樓上遇見貓（南京館）｜松山區純貓旅館｜住宿獨立大空間｜近南京復興站,105台灣臺北市松山區南京東路三段256巷47號,5.0,17.0,星期一: 12:00 – 19:00；星期二: 12:00 – 19:00；星期三: 12:00 – 19:00；星期四: 12:00 – 19:00；星期五: 12:00 – 19:00；星期六: 12:00 – 19:00；星期日: 12:00 – 19:00,121.5445922,25.0496516
台北市,狗狗好乖寵物旅館,115台灣臺北市南港區玉成街4號,4.6,73.0,星期一: 08:10 – 21:00；星期二: 08:10 – 21:00；星期三: 08:10 – 21:30；星期四: 08:10 – 21:00；星期五: 08:10 – 21:00；星期六: 08:10 – 21:00；星期日: 08:10 – 21:00,121.5814516,25.0512159
台北市,北歐寵物旅館 游泳館,105台灣臺北市松山區八德路三段224號,4.7,301.0,星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00；星期日: 08:00 – 22:00,121.557153,25.0480288
台北市,金狗錐狗狗寵物旅館（預約制）小型犬安親住宿、狗狗美容,105台灣臺北市松山區南京東路五段163-4號,5.0,59.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.5626835,25.0516991
台北市,汪堡-大直店,104台灣臺北市中山區敬業一路46號,4.8,161.0,星期一: 09:00 – 20:00；星期二: 09:00 – 20:00；星期三: 09:00 – 20:00；星期四: 09:00 – 20:00；星期五: 09:00 – 20:00；星期六: 09:00 – 20:00；星期日: 09:00 – 20:00,121.5529015,25.0813769
台北市,貓森旅-貓旅館Cat Hotel 台北市中心,106台灣臺北市大安區信義路三段75之1號 2樓,5.0,442.0,星期一: 12:00 – 21:00；星期二: 12:00 – 21:00；星期三: 12:00 – 21:00；星期四: 12:00 – 21:00；星期五: 12:00 – 21:00；星期六: 12:00 – 21:00；星期日: 12:00 – 21:00,121.537277,25.033714
台北市,一簍毛YiLouMao 小動物按摩 安親住宿 夜間保姆,111台灣臺北市士林區天母西路No. 3號5樓,5.0,26.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.529291,25.118609
台北市,Happy愛犬屋,106台灣臺北市大安區復興南路一段321號6 樓,4.8,36.0,星期一: 09:00 – 20:00；星期二: 09:00 – 20:00；星期三: 09:00 – 20:00；星期四: 09:00 – 20:00；星期五: 09:00 – 20:00；星期六: 09:00 – 20:00；星期日: 09:00 – 20:00,121.543851,25.0340483
台北市,貓室友 Catroommate 貓旅館 台北貓住宿,11159台灣臺北市士林區文林路512-1號1樓,4.9,137.0,星期一: 12:00 – 20:00；星期二: 12:00 – 20:00；星期三: 12:00 – 20:00；星期四: 12:00 – 20:00；星期五: 12:00 – 20:00；星期六: 12:00 – 20:00；星期日: 12:00 – 20:00,121.5242124,25.0969928
台北市,有間貓旅精品度假中心 A-House Traveler -貓咪住宿|寵物旅館|貓咪行為訓練|諮詢|台北松山區|民生社區,105032台灣台北市松山區南京东路五段137號二樓,5.0,325.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.5614964,25.0516948
台北市,喵汪美安宿-沐沐館 國寶寵物,10491台灣臺北市中山區松江路382號,4.8,133.0,星期一: 10:00 – 21:00；星期二: 10:00 – 21:00；星期三: 10:00 – 21:00；星期四: 10:00 – 21:00；星期五: 10:00 – 21:00；星期六: 10:00 – 21:00；星期日: 10:00 – 21:00,121.5329092,25.0634608
台北市,寄居喵和風貓旅宿Hermicat 純貓旅館,110053台灣臺北市信義區信義路四段401號5樓,5.0,58.0,星期一: 11:30 – 19:00；星期二: 11:30 – 19:00；星期三: 11:30 – 19:00；星期四: 11:30 – 19:00；星期五: 11:30 – 19:00；星期六: 11:30 – 19:00；星期日: 11:30 – 19:00,121.5587329,25.033287
台北市,三重小庭寵物服務,241台灣新北市三重區重陽路三段176號,5.0,47.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.4898315,25.068303
台北市,MOMO寵物旅館 住宿全天不關籠 開放大空間,241台灣新北市三重區永安北路二段107號1F,4.6,87.0,星期一: 10:00 – 21:00；星期二: 10:00 – 21:00；星期三: 10:00 – 21:00；星期四: 10:00 – 21:00；星期五: 10:00 – 21:00；星期六: 10:00 – 21:00；星期日: 10:00 – 21:00,121.4833335,25.0839361
台北市,有毛公寓Apt.Meow｜貓咪專門旅館,105台灣臺北市松山區八德路四段649號2樓,4.9,53.0,星期一: 12:00 – 20:00；星期二: 12:00 – 20:00；星期三: 12:00 – 20:00；星期四: 12:00 – 20:00；星期五: 12:00 – 20:00；星期六: 12:00 – 20:00；星期日: 12:00 – 20:00,121.5753548,25.0502069
台北市,毛寵舒室,242台灣新北市新莊區福德一街76號,4.9,74.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.4614532,25.0562582
台北市,日巷貓旅｜貓旅館｜寵物旅館｜行李寄放,11568台灣台北市南港区南港路一段287巷2弄6號1樓,5.0,80.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.608258,25.0541944
台北市,毛旅 寵物旅館,10491台灣臺北市中山區長安東路二段232號,5.0,15.0,星期一: 10:30 – 20:00；星期二: 10:30 – 20:00；星期三: 10:30 – 20:00；星期四: 10:30 – 20:00；星期五: 10:30 – 20:00；星期六: 10:30 – 20:00；星期日: 10:30 – 20:00,121.5429057,25.0480787
台北市,酉家寵物旅館,111台灣臺北市士林區士東路18號1樓,4.5,62.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.5269377,25.1117446
台北市,LULU寵物旅館/過年有空/陪同散步/代理鏟屎官/貓狗到府陪玩照護/毛小愛/加line諮詢,105台灣臺北市松山區民生東路五段221號,5.0,19.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 24 小時營業；星期日: 24 小時營業,121.566977,25.059434
台北市,吉貓寓所 | 台北24hrs純貓旅館 • 頂級美容,106台灣臺北市大安區和平東路二段297號3樓,5.0,33.0,星期一: 12:00 – 20:00；星期二: 12:00 – 20:00；星期三: 12:00 – 20:00；星期四: 12:00 – 20:00；星期五: 12:00 – 20:00；星期六: 12:00 – 20:00；星期日: 12:00 – 20:00,121.5447553,25.0249946
台北市,喵汪美安宿-天母旗艦館 犬貓寵物美容 | 安親住宿 | 溫水舒緩泳池 國寶寵物,111台灣臺北市士林區中山北路七段20號,4.8,90.0,星期一: 10:00 – 21:00；星期二: 10:00 – 21:00；星期三: 10:00 – 21:00；星期四: 10:00 – 21:00；星期五: 10:00 – 21:00；星期六: 10:00 – 21:00；星期日: 10:00 – 21:00,121.530917,25.119297
台北市,3天2夜寵物旅館、美容Spa,104台灣臺北市中山區樂群三路73號2樓,4.5,48.0,星期一: 08:00 – 19:00；星期二: 08:00 – 19:00；星期三: 08:00 – 19:00；星期四: 08:00 – 19:00；星期五: 08:00 – 19:00；星期六: 08:00 – 19:00；星期日: 08:00 – 19:00,121.5537239,25.0828175
台北市,專業貓咪保姆/到府照護/可長期配合/寵物旅館/過年有空/毛小愛平台下單,111台灣臺北市士林區中正路707巷7-1號,5.0,17.0,星期一: 09:00 – 17:00；星期二: 09:00 – 17:00；星期三: 09:00 – 17:00；星期四: 09:00 – 17:00；星期五: 09:00 – 17:00；星期六: 09:00 – 17:00；星期日: 09:00 – 17:00,121.506661,25.08536
台北市,樂牧寵物旅館,242台灣新北市新莊區建興街20號,5.0,152.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.4501235,25.0369288
台北市,毛毛窩寵物精品旅館,116台灣臺北市文山區景隆街48號,4.7,115.0,星期一: 10:00 – 22:00；星期二: 10:00 – 22:00；星期三: 10:00 – 22:00；星期四: 10:00 – 22:00；星期五: 10:00 – 22:00；星期六: 10:00 – 22:00；星期日: 10:00 – 22:00,121.5440837,24.9985703
台北市,羅娜寵兒 Rona‘s,105台灣臺北市松山區民生東路五段206-2號1樓,4.9,94.0,星期一: 08:00 – 21:00；星期二: 08:00 – 21:00；星期三: 08:00 – 21:00；星期四: 08:00 – 21:00；星期五: 08:00 – 21:00；星期六: 08:00 – 21:00；星期日: 08:00 – 21:00,121.5647253,25.0587146
台北市,私房貓旅 The Cat Inn．七星級管家式貓咪旅館,241台灣新北市三重區五華街218號1樓,5.0,197.0,星期一: 11:00 – 20:30；星期二: 11:00 – 20:30；星期三: 11:00 – 20:30；星期四: 11:00 – 20:30；星期五: 11:00 – 20:30；星期六: 11:00 – 20:30；星期日: 11:00 – 20:30,121.4878793,25.0869211
台北市,集寵文旅。睡覺間 寵物安親||貓狗住宿|手做鮮食.零食-文山寵物住宿|寵物安親|寵物鮮食|寵物照護|寵物安養|寵物旅館|寵物美容,11645台灣臺北市文山區木柵路二段27號,4.9,56.0,星期一: 10:30 – 19:30；星期二: 10:30 – 19:30；星期三: 10:30 – 19:30；星期四: 10:30 – 19:30；星期五: 10:30 – 19:30；星期六: 10:30 – 19:30；星期日: 10:30 – 19:30,121.559577,24.9888529
台北市,黑鼻子寵物旅館 BlackNose Pet Hotel,112059台灣臺北市北投區自強街164號1樓,4.4,92.0,星期一: 08:30 – 21:00；星期二: 08:30 – 21:00；星期三: 08:30 – 21:00；星期四: 08:30 – 21:00；星期五: 08:30 – 21:00；星期六: 08:30 – 21:00；星期日: 08:30 – 21:00,121.5168859,25.1110205
台北市,淘狗寵物旅館,114台灣臺北市內湖區新明路298巷14弄9號1樓,5.0,6.0,星期一: 07:30 – 20:30；星期二: 07:30 – 20:30；星期三: 07:30 – 20:30；星期四: 07:30 – 20:30；星期五: 07:30 – 20:30；星期六: 09:30 – 20:30；星期日: 09:30 – 20:30,121.5821035,25.0566792
台北市,三毛寵物旅館/三毛寵物美容/貓咪住宿/狗狗美容/狗狗洗澡,234台灣新北市永和区中和路421巷3弄1號1樓,4.7,375.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.5089571,25.0008294
台北市,喵森寧貓咪旅館-士林寵物寄宿|貓旅館推薦|貓咪住宿|寵物住宿|貓咪旅館|純貓旅館|在地推薦寵物旅館|貓咪中途,111台灣臺北市士林區士東路37號,5.0,3.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.527343,25.1120109
台北市,貓樂園貓旅館,103台灣臺北市大同區民族西路268號1樓,,,星期一: 11:00 – 20:00；星期二: 11:00 – 20:00；星期三: 11:00 – 20:00；星期四: 11:00 – 20:00；星期五: 11:00 – 20:00；星期六: 11:00 – 20:00；星期日: 11:00 – 20:00,121.5118643,25.0685425
台北市,家裏窩寵物旅館 Caliwoof Pet Hotel & Spa (預約制),251台灣新北市淡水區新民街31號,5.0,104.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.4390607,25.1755836
台北市,新北市 板橋 澎澎寵物旅館,22052台灣新北市板橋區新生街29巷15弄2號1樓,4.9,379.0,星期一: 11:00 – 20:30；星期二: 11:00 – 20:30；星期三: 11:00 – 20:30；星期四: 11:00 – 20:30；星期五: 11:00 – 20:30；星期六: 11:00 – 20:30；星期日: 11:00 – 20:30,121.4565554,25.0220493
台北市,愛貓成癮 • CAT HOTEL & CAFÉ－五星級頂級貓旅館｜住宿｜貓咪寵物咖啡廳｜台北信義區｜市政府捷運站,110台灣臺北市信義區莊敬路342號2樓,5.0,232.0,星期一: 12:00 – 20:00；星期二: 12:00 – 20:00；星期三: 12:00 – 20:00；星期四: 12:00 – 20:00；星期五: 12:00 – 20:00；星期六: 11:00 – 20:00；星期日: 11:00 – 20:00,121.5640719,25.0277419
台北市,窩日寵物旅館,114台灣臺北市內湖區民權東路六段170號,4.2,381.0,星期一: 09:30 – 21:30；星期二: 09:30 – 21:30；星期三: 09:30 – 21:30；星期四: 09:30 – 21:30；星期五: 09:30 – 21:30；星期六: 09:30 – 21:30；星期日: 09:30 – 21:30,121.5915934,25.0683065
台北市,毛起來住寵物旅館 新北市板橋狗貓住宿,220台灣新北市板橋區富山街89號,4.9,309.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.476581,25.0218108
新北市,就甘心Ponpon寵物旅館,10491台灣臺北市中山區新生北路二段60巷16號4樓,5.0,386.0,星期一: 11:00 – 19:00；星期二: 11:00 – 19:00；星期三: 11:00 – 19:00；星期四: 11:00 – 19:00；星期五: 11:00 – 19:00；星期六: 11:00 – 19:00；星期日: 11:00 – 19:00,121.5268032,25.0556688
新北市,毛起來住寵物旅館 新北市板橋狗貓住宿,220台灣新北市板橋區富山街89號,4.9,309.0,星期一: 10:00 – 20:00；星期二: 10:00 – 20:00；星期三: 10:00 – 20:00；星期四: 10:00 – 20:00；星期五: 10:00 – 20:00；星期六: 10:00 – 20:00；星期日: 10:00 – 20:00,121.476581,25.0218108
新北市,24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,103台灣臺北市大同區五原路19號,5.0,12.0,星期一: 24 小時營業；星期二: 24 小時營業；星期三: 24 小時營業；星期四: 24 小時營業；星期五: 24 小時營業；星期六: 24 小時營業；星期日: 24 小時營業,121.5174032,25.0566984
新北市,樂牧寵物旅館,242台灣新北市新莊區建興街20號,5.0,152.0,星期一: 11:00 – 21:00；星期二: 11:00 – 21:00；星期三: 11:00 – 21:00；星期四: 11:00 – 21:00；星期五: 11:00 – 21:00；星期六: 11:00 – 21:00；星期日: 11:00 – 21:00,121.4501235,25.0369288
新北市,三重小庭寵物服務,241台灣新北市三重區重陽路三段176號,5.0,47.0,星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00；星期日: 09:00 – 21:00,121.4898315,25.068303
新北市,新北市 板橋 澎澎寵物旅館,22052台灣新北市板橋區新生街29巷15弄2號1樓,4.9,379.0,星期一: 11:00 – 20:30；星期二: 11:00 – 20:30；星期三: 11:00 – 20:30；星期四: 11:00 – 20:30；星期五: 11:00 – 20:30；星期六: 11:00 – 20:30；星期日: 11:00 – 20:30,121.4565554,25.0220493
